Olympics,Distance (in meters),Stroke,Relay?,Gender,Results,Rank
Tokyo,100m,Backstroke,0,Men,51.98,1
Tokyo,100m,Backstroke,0,Men,52,2
Tokyo,100m,Backstroke,0,Men,52.19,3
Tokyo,100m,Backstroke,0,Men,52.3,4
Tokyo,100m,Backstroke,0,Men,52.51,4
Tokyo,100m,Backstroke,0,Men,52.78,4
Tokyo,100m,Backstroke,0,Men,52.79,4
Tokyo,100m,Backstroke,0,Men,52.95,4
Tokyo,100m,Breaststroke,0,Men,57.37,1
Tokyo,100m,Breaststroke,0,Men,58,2
Tokyo,100m,Breaststroke,0,Men,58.33,3
Tokyo,100m,Breaststroke,0,Men,58.84,4
Tokyo,100m,Breaststroke,0,Men,58.96,4
Tokyo,100m,Breaststroke,0,Men,58.99,4
Tokyo,100m,Breaststroke,0,Men,58.99,4
Tokyo,100m,Breaststroke,0,Men,59.36,4
Tokyo,100m,Butterfly,0,Men,49.45,1
Tokyo,100m,Butterfly,0,Men,49.68,2
Tokyo,100m,Butterfly,0,Men,50.74,3
Tokyo,100m,Butterfly,0,Men,50.88,4
Tokyo,100m,Butterfly,0,Men,50.92,4
Tokyo,100m,Butterfly,0,Men,50.92,4
Tokyo,100m,Butterfly,0,Men,51.09,4
Tokyo,100m,Butterfly,0,Men,51.49,4
Tokyo,100m,Freestyle,0,Men,47.02,1
Tokyo,100m,Freestyle,0,Men,47.08,2
Tokyo,100m,Freestyle,0,Men,47.44,3
Tokyo,100m,Freestyle,0,Men,47.72,4
Tokyo,100m,Freestyle,0,Men,47.82,4
Tokyo,100m,Freestyle,0,Men,47.86,4
Tokyo,100m,Freestyle,0,Men,48.04,4
Tokyo,100m,Freestyle,0,Men,48.1,4
Tokyo,1500m,Freestyle,0,Men,14:39.65,1
Tokyo,1500m,Freestyle,0,Men,14:40.66,2
Tokyo,1500m,Freestyle,0,Men,14:40.91,3
Tokyo,1500m,Freestyle,0,Men,14:45.01,4
Tokyo,1500m,Freestyle,0,Men,14:55.48,4
Tokyo,1500m,Freestyle,0,Men,14:55.85,4
Tokyo,1500m,Freestyle,0,Men,15:03.47,4
Tokyo,1500m,Freestyle,0,Men,15:04.26,4
Tokyo,200m,Backstroke,0,Men,1:53.27,1
Tokyo,200m,Backstroke,0,Men,1:54.15,2
Tokyo,200m,Backstroke,0,Men,1:54.72,3
Tokyo,200m,Backstroke,0,Men,1:55.49,4
Tokyo,200m,Backstroke,0,Men,1:56.15,4
Tokyo,200m,Backstroke,0,Men,1:56.39,4
Tokyo,200m,Backstroke,0,Men,1:57.32,4
Tokyo,200m,Backstroke,0,Men,1:59.06,4
Tokyo,200m,Breaststroke,0,Men,2:06.38,1
Tokyo,200m,Breaststroke,0,Men,2:07.01,2
Tokyo,200m,Breaststroke,0,Men,2:07.13,3
Tokyo,200m,Breaststroke,0,Men,2:07.24,4
Tokyo,200m,Breaststroke,0,Men,2:07.93,4
Tokyo,200m,Breaststroke,0,Men,2:08.19,4
Tokyo,200m,Breaststroke,0,Men,2:08.42,4
Tokyo,200m,Breaststroke,0,Men,2:08.88,4
Tokyo,200m,Butterfly,0,Men,1:51.25,1
Tokyo,200m,Butterfly,0,Men,1:53.73,2
Tokyo,200m,Butterfly,0,Men,1:54.45,3
Tokyo,200m,Butterfly,0,Men,1:54.52,4
Tokyo,200m,Butterfly,0,Men,1:54.93,4
Tokyo,200m,Butterfly,0,Men,1:55.19,4
Tokyo,200m,Butterfly,0,Men,1:55.46,4
Tokyo,200m,Butterfly,0,Men,1:55.88,4
Tokyo,200m,Freestyle,0,Men,1:44.22,1
Tokyo,200m,Freestyle,0,Men,1:44.26,2
Tokyo,200m,Freestyle,0,Men,1:44.66,3
Tokyo,200m,Freestyle,0,Men,1:44.68,4
Tokyo,200m,Freestyle,0,Men,1:45.01,4
Tokyo,200m,Freestyle,0,Men,1:45.12,4
Tokyo,200m,Freestyle,0,Men,1:45.26,4
Tokyo,200m,Freestyle,0,Men,1:45.78,4
Tokyo,400m,Freestyle,0,Men,3:43.36,1
Tokyo,400m,Freestyle,0,Men,3:43.52,2
Tokyo,400m,Freestyle,0,Men,3:43.94,3
Tokyo,400m,Freestyle,0,Men,3:44.07,4
Tokyo,400m,Freestyle,0,Men,3:44.07,4
Tokyo,400m,Freestyle,0,Men,3:44.88,4
Tokyo,400m,Freestyle,0,Men,3:45.20,4
Tokyo,400m,Freestyle,0,Men,3:45.39,4
Tokyo,50m,Freestyle,0,Men,21.07,1
Tokyo,50m,Freestyle,0,Men,21.55,2
Tokyo,50m,Freestyle,0,Men,21.57,3
Tokyo,50m,Freestyle,0,Men,21.6,4
Tokyo,50m,Freestyle,0,Men,21.72,4
